metric,category,kind,n_facilities,n_with,pct_with,median,min,max,mean
capability_backup_generator,Yes,categorical,117,60.0,51.3,,,,
capability_backup_generator,No,categorical,117,57.0,48.7,,,,
capability_cpap_machines,,numeric,117,,,0.0,0.0,5.0,0.393
capability_electricity_reliable,No,categorical,117,65.0,55.6,,,,
capability_electricity_reliable,Yes,categorical,117,52.0,44.4,,,,
capability_incubators_functional,,numeric,117,,,2.0,0.0,14.0,2.444
capability_incubators_total,,numeric,117,,,3.0,0.0,19.0,3.607
capability_kangaroo_care_space,Yes,categorical,117,59.0,50.4,,,,
capability_kangaroo_care_space,No,categorical,117,32.0,27.4,,,,
capability_kangaroo_care_space,Partial,categorical,117,26.0,22.2,,,,
capability_nicu_available,No,categorical,117,99.0,84.6,,,,
capability_nicu_available,Yes,categorical,117,10.0,8.5,,,,
capability_nicu_available,Partial,categorical,117,8.0,6.8,,,,
capability_nicu_beds,,numeric,117,,,0.0,0.0,25.0,0.983
capability_phototherapy_units,,numeric,117,,,2.0,0.0,10.0,1.675
capability_radiant_warmers,,numeric,117,,,2.0,0.0,10.0,2.308
capability_resuscitation_tables,,numeric,117,,,2.0,1.0,5.0,1.701
governance_bagmask_competency,,numeric,117,,,36.0,10.0,96.0,35.701
governance_death_audit_rate,,numeric,117,,,38.0,10.0,96.0,40.017
governance_ipc_score,,numeric,117,,,48.0,26.0,88.0,47.094
governance_protocol_status,Yes,categorical,117,72.0,61.5,,,,
governance_protocol_status,Outdated,categorical,117,31.0,26.5,,,,
governance_protocol_status,No,categorical,117,14.0,12.0,,,,
governance_protocol_updated,Never,categorical,117,14.0,12.0,,,,
governance_protocol_updated,2025-09,categorical,117,8.0,6.8,,,,
governance_protocol_updated,2025-01,categorical,117,6.0,5.1,,,,
governance_protocol_updated,2024-05,categorical,117,5.0,4.3,,,,
governance_protocol_updated,2024-06,categorical,117,4.0,3.4,,,,
governance_protocol_updated,2024-02,categorical,117,4.0,3.4,,,,
governance_protocol_updated,2025-04,categorical,117,4.0,3.4,,,,
governance_protocol_updated,2023-08,categorical,117,4.0,3.4,,,,
governance_protocol_updated,2024-12,categorical,117,4.0,3.4,,,,
governance_protocol_updated,2023-10,categorical,117,3.0,2.6,,,,
