district,quarter,numerator,provisional_inputs,denominator,value,provisional
Bugesera,2024-Q1,58.0,16,895.0,64.8,true
Bugesera,2024-Q2,104.0,0,1523.0,68.29,false
Bugesera,2024-Q3,91.0,0,1312.0,69.36,false
Bugesera,2024-Q4,44.0,0,798.0,55.14,false
Burera,2024-Q1,39.0,12,571.0,68.3,true
Burera,2024-Q2,59.0,0,977.0,60.39,false
Burera,2024-Q3,60.0,0,938.0,63.97,false
Burera,2024-Q4,32.0,0,600.0,53.33,false
Gakenke,2024-Q1,86.0,20,1203.0,71.49,true
Gakenke,2024-Q2,101.0,0,1471.0,68.66,false
Gakenke,2024-Q3,108.0,0,1581.0,68.31,false
Gakenke,2024-Q4,66.0,0,991.0,66.6,false
Gasabo,2024-Q1,57.0,16,1132.0,50.35,true
Gasabo,2024-Q2,82.0,0,1673.0,49.01,false
Gasabo,2024-Q3,93.0,0,1808.0,51.44,false
Gasabo,2024-Q4,62.0,0,1209.0,51.28,false
Gatsibo,2024-Q1,83.0,20,1596.0,52.01,true
Gatsibo,2024-Q2,135.0,0,2366.0,57.06,false
Gatsibo,2024-Q3,99.0,0,1971.0,50.23,false
Gatsibo,2024-Q4,87.0,0,1582.0,54.99,false
Gicumbi,2024-Q1,76.0,20,1229.0,61.84,true
Gicumbi,2024-Q2,143.0,0,2044.0,69.96,false
Gicumbi,2024-Q3,145.0,0,2147.0,67.54,false
Gicumbi,2024-Q4,93.0,0,1464.0,63.52,false
Gisagara,2024-Q1,66.0,20,1379.0,47.86,true
Gisagara,2024-Q2,117.0,0,2179.0,53.69,false
Gisagara,2024-Q3,118.0,0,2153.0,54.81,false
Gisagara,2024-Q4,89.0,0,1599.0,55.66,false
Huye,2024-Q1,56.0,12,1132.0,49.47,true
Huye,2024-Q2,85.0,0,1653.0,51.42,false
Huye,2024-Q3,101.0,0,1847.0,54.68,false
Huye,2024-Q4,52.0,0,1043.0,49.86,false
Kamonyi,2024-Q1,63.0,16,996.0,63.25,true
Kamonyi,2024-Q2,93.0,0,1418.0,65.59,false
Kamonyi,2024-Q3,84.0,0,1302.0,64.52,false
Kamonyi,2024-Q4,59.0,0,949.0,62.17,false
Karongi,2024-Q1,67.0,16,1777.0,37.7,true
Karongi,2024-Q2,93.0,0,2625.0,35.43,false
Karongi,2024-Q3,87.0,0,2567.0,33.89,false
Karongi,2024-Q4,63.0,0,1672.0,37.68,false
Kayonza,2024-Q1,50.0,16,727.0,68.78,true
Kayonza,2024-Q2,67.0,0,1118.0,59.93,false
Kayonza,2024-Q3,78.0,0,1194.0,65.33,false
Kayonza,2024-Q4,50.0,0,803.0,62.27,false
Kicukiro,2024-Q1,52.0,16,1890.0,27.51,true
Kicukiro,2024-Q2,102.0,0,3259.0,31.3,false
Kicukiro,2024-Q3,88.0,0,2613.0,33.68,false
Kicukiro,2024-Q4,61.0,0,1957.0,31.17,false
Kirehe,2024-Q1,78.0,16,1017.0,76.7,true
Kirehe,2024-Q2,75.0,0,1294.0,57.96,false
Kirehe,2024-Q3,94.0,0,1375.0,68.36,false
Kirehe,2024-Q4,53.0,0,892.0,59.42,false
Muhanga,2024-Q1,40.0,12,629.0,63.59,true
Muhanga,2024-Q2,59.0,0,949.0,62.17,false
Muhanga,2024-Q3,65.0,0,909.0,71.51,false
Muhanga,2024-Q4,34.0,0,552.0,61.59,false
Musanze,2024-Q1,54.0,12,1687.0,32.01,true
Musanze,2024-Q2,85.0,0,2425.0,35.05,false
Musanze,2024-Q3,68.0,0,2242.0,30.33,false
Musanze,2024-Q4,51.0,0,1635.0,31.19,false
Ngoma,2024-Q1,49.0,12,806.0,60.79,true
Ngoma,2024-Q2,69.0,0,1066.0,64.73,false
Ngoma,2024-Q3,75.0,0,1143.0,65.62,false
Ngoma,2024-Q4,57.0,0,731.0,77.98,false
Ngororero,2024-Q1,77.0,20,1892.0,40.7,true
Ngororero,2024-Q2,122.0,0,2946.0,41.41,false
Ngororero,2024-Q3,120.0,0,3122.0,38.44,false
Ngororero,2024-Q4,81.0,0,2109.0,38.41,false
Nyabihu,2024-Q1,69.0,20,1454.0,47.46,true
Nyabihu,2024-Q2,110.0,0,2094.0,52.53,false
Nyabihu,2024-Q3,108.0,0,2033.0,53.12,false
Nyabihu,2024-Q4,76.0,0,1406.0,54.05,false
Nyagatare,2024-Q1,58.0,16,1434.0,40.45,true
Nyagatare,2024-Q2,69.0,0,1917.0,35.99,false
Nyagatare,2024-Q3,91.0,0,2198.0,41.4,false
Nyagatare,2024-Q4,64.0,0,1551.0,41.26,false
Nyamagabe,2024-Q1,50.0,16,803.0,62.27,true
Nyamagabe,2024-Q2,84.0,0,1338.0,62.78,false
Nyamagabe,2024-Q3,94.0,0,1422.0,66.1,false
Nyamagabe,2024-Q4,60.0,0,963.0,62.31,false
Nyamasheke,2024-Q1,38.0,12,924.0,41.13,true
Nyamasheke,2024-Q2,54.0,0,1339.0,40.33,false
Nyamasheke,2024-Q3,52.0,0,1335.0,38.95,false
Nyamasheke,2024-Q4,39.0,0,870.0,44.83,false
Nyanza,2024-Q1,79.0,20,1222.0,64.65,true
Nyanza,2024-Q2,106.0,0,1597.0,66.37,false
Nyanza,2024-Q3,86.0,0,1357.0,63.38,false
Nyanza,2024-Q4,69.0,0,1053.0,65.53,false
Nyarugenge,2024-Q1,73.0,20,2391.0,30.53,true
Nyarugenge,2024-Q2,93.0,0,3608.0,25.78,false
Nyarugenge,2024-Q3,98.0,0,3360.0,29.17,false
Nyarugenge,2024-Q4,78.0,0,2419.0,32.24,false
Nyaruguru,2024-Q1,48.0,12,1048.0,45.8,true
Nyaruguru,2024-Q2,85.0,0,1626.0,52.28,false
Nyaruguru,2024-Q3,72.0,0,1531.0,47.03,false
Nyaruguru,2024-Q4,39.0,0,930.0,41.94,false
Rubavu,2024-Q1,42.0,12,637.0,65.93,true
Rubavu,2024-Q2,77.0,0,1218.0,63.22,false
Rubavu,2024-Q3,82.0,0,1189.0,68.97,false
Rubavu,2024-Q4,52.0,0,786.0,66.16,false
Ruhango,2024-Q1,64.0,12,864.0,74.07,true
Ruhango,2024-Q2,105.0,0,1543.0,68.05,false
Ruhango,2024-Q3,78.0,0,1205.0,64.73,false
Ruhango,2024-Q4,64.0,0,996.0,64.26,false
Rulindo,2024-Q1,62.0,12,1122.0,55.26,true
Rulindo,2024-Q2,82.0,0,1698.0,48.29,false
Rulindo,2024-Q3,80.0,0,1597.0,50.09,false
Rulindo,2024-Q4,49.0,0,956.0,51.26,false
Rusizi,2024-Q1,52.0,12,1112.0,46.76,true
Rusizi,2024-Q2,84.0,0,1662.0,50.54,false
Rusizi,2024-Q3,82.0,0,1632.0,50.25,false
Rusizi,2024-Q4,48.0,0,1009.0,47.57,false
Rutsiro,2024-Q1,89.0,20,1520.0,58.55,true
Rutsiro,2024-Q2,141.0,0,2498.0,56.45,false
Rutsiro,2024-Q3,124.0,0,2342.0,52.95,false
Rutsiro,2024-Q4,77.0,0,1447.0,53.21,false
Rwamagana,2024-Q1,44.0,12,827.0,53.2,true
Rwamagana,2024-Q2,53.0,0,1248.0,42.47,false
Rwamagana,2024-Q3,70.0,0,1540.0,45.45,false
Rwamagana,2024-Q4,43.0,0,946.0,45.45,false
